Country,Region,Code,Date,Sex,Age,AgeInt,Cases,Deaths,Tests
Afghanistan,Rural,CA,2022-01-01,b,0,10,10578,49,148
Brazil,Rural,CA,2022-01-01,b,0,10,3234,245,30633
Canada,Rural,CA,2022-01-01,b,0,10,15258,154,16758
Denmark,Rural,CA,2022-01-01,b,0,10,11920,127,10018
Egypt,Rural,CA,2022-01-01,b,0,10,12022,378,34550
Afghanistan,All,DK,2022-01-01,b,0,10,4990,38,12707
Brazil,All,DK,2022-01-01,b,0,10,11793,310,17531
Canada,All,DK,2022-01-01,b,0,10,1175,137,18870
Denmark,All,DK,2022-01-01,b,0,10,16060,75,11876
Egypt,All,DK,2022-01-01,b,0,10,10888,114,18033
Afghanistan,Urban,DK,2022-01-01,b,0,10,4215,244,30554
Brazil,Urban,DK,2022-01-01,b,0,10,1599,149,42260
Canada,Urban,DK,2022-01-01,b,0,10,3955,190,14836
Denmark,Urban,DK,2022-01-01,b,0,10,1734,103,911
Egypt,Urban,DK,2022-01-01,b,0,10,5492,71,6838
Afghanistan,Rural,DK,2022-01-01,b,0,10,15426,205,20703
Brazil,Rural,DK,2022-01-01,b,0,10,11511,49,24745
Canada,Rural,DK,2022-01-01,b,0,10,3730,136,41225
Denmark,Rural,DK,2022-01-01,b,0,10,3951,234,17384
Egypt,Rural,DK,2022-01-01,b,0,10,15564,416,33419
Afghanistan,All,EG,2022-01-01,b,0,10,4877,385,45071
Brazil,All,EG,2022-01-01,b,0,10,17495,311,41661
Canada,All,EG,2022-01-01,b,0,10,14588,163,36658
Denmark,All,EG,2022-01-01,b,0,10,19749,112,42775
Egypt,All,EG,2022-01-01,b,0,10,5107,396,11855
Afghanistan,Urban,EG,2022-01-01,b,0,10,7167,335,30335
Brazil,Urban,EG,2022-01-01,b,0,10,12549,30,30961
Canada,Urban,EG,2022-01-01,b,0,10,5667,306,45292
Denmark,Urban,EG,2022-01-01,b,0,10,15049,389,27054
Egypt,Urban,EG,2022-01-01,b,0,10,14718,119,499
Afghanistan,Rural,EG,2022-01-01,b,0,10,3832,239,2434
Brazil,Rural,EG,2022-01-01,b,0,10,355,285,26144
Canada,Rural,EG,2022-01-01,b,0,10,8650,221,22986
Denmark,Rural,EG,2022-01-01,b,0,10,7810,293,47010
Egypt,Rural,EG,2022-01-01,b,0,10,4124,190,46081
Afghanistan,All,AF,2022-02-01,b,0,10,234,499,47280
Brazil,All,AF,2022-02-01,b,0,10,4746,313,33343
Canada,All,AF,2022-02-01,b,0,10,5270,403,10071
Denmark,All,AF,2022-02-01,b,0,10,16213,240,41576
Egypt,All,AF,2022-02-01,b,0,10,3056,406,500
Afghanistan,Urban,AF,2022-02-01,b,0,10,5303,367,35851
Brazil,Urban,AF,2022-02-01,b,0,10,19745,14,33684
Canada,Urban,AF,2022-02-01,b,0,10,17958,351,15135
Denmark,Urban,AF,2022-02-01,b,0,10,7751,300,49043
Egypt,Urban,AF,2022-02-01,b,0,10,15886,303,20956
Afghanistan,Rural,AF,2022-02-01,b,0,10,18878,212,14040
Brazil,Rural,AF,2022-02-01,b,0,10,13578,483,43273
Canada,Rural,AF,2022-02-01,b,0,10,13881,128,12953
Denmark,Rural,AF,2022-02-01,b,0,10,18315,431,32500
Egypt,Rural,AF,2022-02-01,b,0,10,8064,442,46457
Afghanistan,All,BR,2022-02-01,b,0,10,1107,451,37890
Brazil,All,BR,2022-02-01,b,0,10,15491,377,24234
Canada,All,BR,2022-02-01,b,0,10,2517,198,47938
Denmark,All,BR,2022-02-01,b,0,10,6240,268,46484
Egypt,All,BR,2022-02-01,b,0,10,13574,264,16494
Afghanistan,Urban,BR,2022-02-01,b,0,10,1821,422,17037
Brazil,Urban,BR,2022-02-01,b,0,10,2460,107,20506
Canada,Urban,BR,2022-02-01,b,0,10,14938,177,14356
Denmark,Urban,BR,2022-02-01,b,0,10,1073,126,18456
Egypt,Urban,BR,2022-02-01,b,0,10,13799,102,49763
Afghanistan,Rural,BR,2022-02-01,b,0,10,18716,292,43710
Brazil,Rural,BR,2022-02-01,b,0,10,9659,297,28999
Canada,Rural,BR,2022-02-01,b,0,10,18499,294,26407
Denmark,Rural,BR,2022-02-01,b,0,10,9975,309,42361
Egypt,Rural,BR,2022-02-01,b,0,10,19037,222,26431
Afghanistan,All,CA,2022-02-01,b,0,10,3724,92,36786
Brazil,All,CA,2022-02-01,b,0,10,3690,126,12670
Canada,All,CA,2022-02-01,b,0,10,14343,74,24381
Denmark,All,CA,2022-02-01,b,0,10,16117,222,19935
Egypt,All,CA,2022-02-01,b,0,10,5720,263,10647
Afghanistan,Urban,CA,2022-02-01,b,0,10,11810,218,23727
Brazil,Urban,CA,2022-02-01,b,0,10,14517,314,42418
Canada,Urban,CA,2022-02-01,b,0,10,14254,449,9625
Denmark,Urban,CA,2022-02-01,b,0,10,801,88,4011
Egypt,Urban,CA,2022-02-01,b,0,10,10887,173,15213
Afghanistan,Rural,CA,2022-02-01,b,0,10,10885,305,28580
Brazil,Rural,CA,2022-02-01,b,0,10,1796,500,18903
Canada,Rural,CA,2022-02-01,b,0,10,15921,493,2633
Denmark,Rural,CA,2022-02-01,b,0,10,6010,270,30218
Egypt,Rural,CA,2022-02-01,b,0,10,3501,205,3797
Afghanistan,All,DK,2022-02-01,b,0,10,19730,436,12159
Brazil,All,DK,2022-02-01,b,0,10,8277,220,40203
Canada,All,DK,2022-02-01,b,0,10,14957,155,44728
Denmark,All,DK,2022-02-01,b,0,10,11572,402,6808
Egypt,All,DK,2022-02-01,b,0,10,3697,21,46999
Afghanistan,Urban,DK,2022-02-01,b,0,10,8619,444,32321
Brazil,Urban,DK,2022-02-01,b,0,10,7183,425,47769
Canada,Urban,DK,2022-02-01,b,0,10,15845,303,42062
Denmark,Urban,DK,2022-02-01,b,0,10,16214,203,20991
Egypt,Urban,DK,2022-02-01,b,0,10,3082,96,4986
Afghanistan,Rural,DK,2022-02-01,b,0,10,2600,369,5896
Brazil,Rural,DK,2022-02-01,b,0,10,9506,374,16027
Canada,Rural,DK,2022-02-01,b,0,10,6568,402,37274
Denmark,Rural,DK,2022-02-01,b,0,10,18582,73,20305
Egypt,Rural,DK,2022-02-01,b,0,10,2192,235,31494
Afghanistan,All,EG,2022-02-01,b,0,10,622,146,36724
Brazil,All,EG,2022-02-01,b,0,10,19307,5,48513
Canada,All,EG,2022-02-01,b,0,10,10067,169,37982
Denmark,All,EG,2022-02-01,b,0,10,17361,227,45815
Egypt,All,EG,2022-02-01,b,0,10,2561,112,34776
Afghanistan,Urban,EG,2022-02-01,b,0,10,6764,254,23541
Brazil,Urban,EG,2022-02-01,b,0,10,13867,261,42954
Canada,Urban,EG,2022-02-01,b,0,10,16397,61,41739
Denmark,Urban,EG,2022-02-01,b,0,10,3292,41,2455
Egypt,Urban,EG,2022-02-01,b,0,10,16453,156,46187
Afghanistan,Rural,EG,2022-02-01,b,0,10,5128,78,5595
Brazil,Rural,EG,2022-02-01,b,0,10,19577,356,34795
Canada,Rural,EG,2022-02-01,b,0,10,12158,209,44406
Denmark,Rural,EG,2022-02-01,b,0,10,11054,15,23750
Egypt,Rural,EG,2022-02-01,b,0,10,10281,202,20141
Afghanistan,All,AF,2022-03-01,b,0,10,15278,415,26575
Brazil,All,AF,2022-03-01,b,0,10,16921,280,43007
Canada,All,AF,2022-03-01,b,0,10,15377,116,18419
Denmark,All,AF,2022-03-01,b,0,10,479,405,44717
Egypt,All,AF,2022-03-01,b,0,10,10788,357,9550
Afghanistan,Urban,AF,2022-03-01,b,0,10,2073,22,11894
Brazil,Urban,AF,2022-03-01,b,0,10,15192,377,32435
Canada,Urban,AF,2022-03-01,b,0,10,9859,131,20070
Denmark,Urban,AF,2022-03-01,b,0,10,2974,287,40522
Egypt,Urban,AF,2022-03-01,b,0,10,7061,336,4673
Afghanistan,Rural,AF,2022-03-01,b,0,10,14061,358,1529
Brazil,Rural,AF,2022-03-01,b,0,10,1609,11,35791
Canada,Rural,AF,2022-03-01,b,0,10,15386,102,45693
Denmark,Rural,AF,2022-03-01,b,0,10,14844,59,28044
Egypt,Rural,AF,2022-03-01,b,0,10,9936,248,8807
Afghanistan,All,BR,2022-03-01,b,0,10,16352,347,22117
Brazil,All,BR,2022-03-01,b,0,10,3974,269,4402
Canada,All,BR,2022-03-01,b,0,10,10867,204,40552
Denmark,All,BR,2022-03-01,b,0,10,7203,489,28153
Egypt,All,BR,2022-03-01,b,0,10,3428,14,12666
Afghanistan,Urban,BR,2022-03-01,b,0,10,16179,352,46348
Brazil,Urban,BR,2022-03-01,b,0,10,16425,14,22075
Canada,Urban,BR,2022-03-01,b,0,10,9709,478,5634
Denmark,Urban,BR,2022-03-01,b,0,10,14486,401,20165
Egypt,Urban,BR,2022-03-01,b,0,10,9328,374,6933
Afghanistan,Rural,BR,2022-03-01,b,0,10,2396,443,3237
Brazil,Rural,BR,2022-03-01,b,0,10,865,299,25283
Canada,Rural,BR,2022-03-01,b,0,10,9244,106,37519
Denmark,Rural,BR,2022-03-01,b,0,10,8415,327,27903
Egypt,Rural,BR,2022-03-01,b,0,10,252,451,47810
Afghanistan,All,CA,2022-03-01,b,0,10,19897,391,8372
Brazil,All,CA,2022-03-01,b,0,10,17971,426,40533
Canada,All,CA,2022-03-01,b,0,10,7325,93,12495
Denmark,All,CA,2022-03-01,b,0,10,9614,391,25160
Egypt,All,CA,2022-03-01,b,0,10,5897,103,48160
Afghanistan,Urban,CA,2022-03-01,b,0,10,8345,237,46276
Brazil,Urban,CA,2022-03-01,b,0,10,19171,145,26470
Canada,Urban,CA,2022-03-01,b,0,10,6899,359,6089
Denmark,Urban,CA,2022-03-01,b,0,10,4990,93,36264
Egypt,Urban,CA,2022-03-01,b,0,10,849,248,44400
Afghanistan,Rural,CA,2022-03-01,b,0,10,17872,247,41506
Brazil,Rural,CA,2022-03-01,b,0,10,11617,252,45770
Canada,Rural,CA,2022-03-01,b,0,10,19312,133,18302
Denmark,Rural,CA,2022-03-01,b,0,10,18155,214,30721
Egypt,Rural,CA,2022-03-01,b,0,10,18313,87,1521
Afghanistan,All,DK,2022-03-01,b,0,10,5731,248,29976
Brazil,All,DK,2022-03-01,b,0,10,19804,414,10248
Canada,All,DK,2022-03-01,b,0,10,6619,145,44611
Denmark,All,DK,2022-03-01,b,0,10,6252,38,21332
Egypt,All,DK,2022-03-01,b,0,10,7106,290,41667
Afghanistan,Urban,DK,2022-03-01,b,0,10,4073,500,38781
Brazil,Urban,DK,2022-03-01,b,0,10,15880,460,30326
Canada,Urban,DK,2022-03-01,b,0,10,12126,115,381
Denmark,Urban,DK,2022-03-01,b,0,10,3606,79,33518
Egypt,Urban,DK,2022-03-01,b,0,10,15987,61,36299
Afghanistan,Rural,DK,2022-03-01,b,0,10,13839,417,24680
Brazil,Rural,DK,2022-03-01,b,0,10,4853,453,39597
Canada,Rural,DK,2022-03-01,b,0,10,8602,2,7952
Denmark,Rural,DK,2022-03-01,b,0,10,10813,408,17301
Egypt,Rural,DK,2022-03-01,b,0,10,18545,189,636
Afghanistan,All,EG,2022-03-01,b,0,10,9099,243,24194
Brazil,All,EG,2022-03-01,b,0,10,885,406,551
Canada,All,EG,2022-03-01,b,0,10,8724,251,8150
Denmark,All,EG,2022-03-01,b,0,10,10497,14,47672
Egypt,All,EG,2022-03-01,b,0,10,12031,329,40579
Afghanistan,Urban,EG,2022-03-01,b,0,10,2625,287,12302
Brazil,Urban,EG,2022-03-01,b,0,10,16999,345,1955
Canada,Urban,EG,2022-03-01,b,0,10,13894,267,38322
Denmark,Urban,EG,2022-03-01,b,0,10,4405,274,17173
Egypt,Urban,EG,2022-03-01,b,0,10,7496,355,42969
Afghanistan,Rural,EG,2022-03-01,b,0,10,8762,8,7786
Brazil,Rural,EG,2022-03-01,b,0,10,17460,358,33801
Canada,Rural,EG,2022-03-01,b,0,10,5087,6,38115
Denmark,Rural,EG,2022-03-01,b,0,10,3727,191,2597
Egypt,Rural,EG,2022-03-01,b,0,10,5876,330,26071
Afghanistan,All,AF,2022-04-01,b,0,10,6110,52,31605
Brazil,All,AF,2022-04-01,b,0,10,17982,318,39619
Canada,All,AF,2022-04-01,b,0,10,9245,331,37038
Denmark,All,AF,2022-04-01,b,0,10,1262,468,40018
Egypt,All,AF,2022-04-01,b,0,10,17732,330,29153
Afghanistan,Urban,AF,2022-04-01,b,0,10,19468,342,37274
Brazil,Urban,AF,2022-04-01,b,0,10,10705,490,5105
Canada,Urban,AF,2022-04-01,b,0,10,6237,89,43279
Denmark,Urban,AF,2022-04-01,b,0,10,6203,97,47258
Egypt,Urban,AF,2022-04-01,b,0,10,10119,343,47577
Afghanistan,Rural,AF,2022-04-01,b,0,10,17474,22,11749
Brazil,Rural,AF,2022-04-01,b,0,10,8259,294,35710
Canada,Rural,AF,2022-04-01,b,0,10,6202,398,17872
Denmark,Rural,AF,2022-04-01,b,0,10,2927,37,44946
Egypt,Rural,AF,2022-04-01,b,0,10,8179,498,38973
Afghanistan,All,BR,2022-04-01,b,0,10,17824,235,31918
Brazil,All,BR,2022-04-01,b,0,10,5138,384,10792
Canada,All,BR,2022-04-01,b,0,10,4399,26,10246
Denmark,All,BR,2022-04-01,b,0,10,10080,368,31030
Egypt,All,BR,2022-04-01,b,0,10,8380,433,30646
Afghanistan,Urban,BR,2022-04-01,b,0,10,13046,416,23720
Brazil,Urban,BR,2022-04-01,b,0,10,15826,327,37843
Canada,Urban,BR,2022-04-01,b,0,10,5059,350,15825
Denmark,Urban,BR,2022-04-01,b,0,10,9994,418,47246
Egypt,Urban,BR,2022-04-01,b,0,10,8417,224,40754
Afghanistan,Rural,BR,2022-04-01,b,0,10,8321,425,42204
Brazil,Rural,BR,2022-04-01,b,0,10,9732,129,25231
Canada,Rural,BR,2022-04-01,b,0,10,9012,40,39496
Denmark,Rural,BR,2022-04-01,b,0,10,17847,118,45372
Egypt,Rural,BR,2022-04-01,b,0,10,9519,493,31030
Afghanistan,All,CA,2022-04-01,b,0,10,3458,462,5210
Brazil,All,CA,2022-04-01,b,0,10,5,68,10476
Canada,All,CA,2022-04-01,b,0,10,15504,223,10584
Denmark,All,CA,2022-04-01,b,0,10,18235,20,6291
Egypt,All,CA,2022-04-01,b,0,10,13456,116,20117
Afghanistan,Urban,CA,2022-04-01,b,0,10,12665,139,3951
Brazil,Urban,CA,2022-04-01,b,0,10,3072,476,38935
Canada,Urban,CA,2022-04-01,b,0,10,14677,282,30143
Denmark,Urban,CA,2022-04-01,b,0,10,9497,403,45332
Egypt,Urban,CA,2022-04-01,b,0,10,14452,114,29029
Afghanistan,Rural,CA,2022-04-01,b,0,10,14972,280,49968
Brazil,Rural,CA,2022-04-01,b,0,10,7238,134,5432
Canada,Rural,CA,2022-04-01,b,0,10,1422,351,12237
Denmark,Rural,CA,2022-04-01,b,0,10,19602,357,2331
Egypt,Rural,CA,2022-04-01,b,0,10,4616,9,39835
Afghanistan,All,DK,2022-04-01,b,0,10,8981,488,24358
Brazil,All,DK,2022-04-01,b,0,10,4380,348,16865
Canada,All,DK,2022-04-01,b,0,10,4257,108,20126
Denmark,All,DK,2022-04-01,b,0,10,11752,451,40295
Egypt,All,DK,2022-04-01,b,0,10,6664,143,43295
Afghanistan,Urban,DK,2022-04-01,b,0,10,10913,336,38424
Brazil,Urban,DK,2022-04-01,b,0,10,5297,31,6881
Canada,Urban,DK,2022-04-01,b,0,10,9740,231,10653
Denmark,Urban,DK,2022-04-01,b,0,10,8832,362,49217
Egypt,Urban,DK,2022-04-01,b,0,10,2401,165,27295
Afghanistan,Rural,DK,2022-04-01,b,0,10,7559,286,9879
Brazil,Rural,DK,2022-04-01,b,0,10,19209,428,12683
Canada,Rural,DK,2022-04-01,b,0,10,10868,151,35414
Denmark,Rural,DK,2022-04-01,b,0,10,3834,450,36202
Egypt,Rural,DK,2022-04-01,b,0,10,5560,376,21759
Afghanistan,All,EG,2022-04-01,b,0,10,9263,310,18227
Brazil,All,EG,2022-04-01,b,0,10,17458,356,28699
Canada,All,EG,2022-04-01,b,0,10,12370,435,1953
Denmark,All,EG,2022-04-01,b,0,10,9731,28,39251
Egypt,All,EG,2022-04-01,b,0,10,6734,125,1223
Afghanistan,Urban,EG,2022-04-01,b,0,10,6928,499,23586
Brazil,Urban,EG,2022-04-01,b,0,10,7137,14,16684
Canada,Urban,EG,2022-04-01,b,0,10,13641,438,38751
Denmark,Urban,EG,2022-04-01,b,0,10,17389,470,33424
Egypt,Urban,EG,2022-04-01,b,0,10,258,164,17732
Afghanistan,Rural,EG,2022-04-01,b,0,10,16866,271,24257
Brazil,Rural,EG,2022-04-01,b,0,10,16538,141,6257
Canada,Rural,EG,2022-04-01,b,0,10,16595,76,13813
Denmark,Rural,EG,2022-04-01,b,0,10,13087,446,25888
Egypt,Rural,EG,2022-04-01,b,0,10,9754,476,19076
Afghanistan,All,AF,2022-05-01,b,0,10,11881,246,33147
Brazil,All,AF,2022-05-01,b,0,10,4549,64,38266
Canada,All,AF,2022-05-01,b,0,10,11088,103,26800
Denmark,All,AF,2022-05-01,b,0,10,19656,474,10326
Egypt,All,AF,2022-05-01,b,0,10,14986,212,12684
Afghanistan,Urban,AF,2022-05-01,b,0,10,6505,472,23296
Brazil,Urban,AF,2022-05-01,b,0,10,6792,440,21770
Canada,Urban,AF,2022-05-01,b,0,10,9777,351,27057
Denmark,Urban,AF,2022-05-01,b,0,10,19363,90,38212
Egypt,Urban,AF,2022-05-01,b,0,10,16484,105,6082
Afghanistan,Rural,AF,2022-05-01,b,0,10,16028,439,17657
Brazil,Rural,AF,2022-05-01,b,0,10,1854,488,46576
Canada,Rural,AF,2022-05-01,b,0,10,12429,178,36778
Denmark,Rural,AF,2022-05-01,b,0,10,12776,387,23502
Egypt,Rural,AF,2022-05-01,b,0,10,18573,96,9913
Afghanistan,All,BR,2022-05-01,b,0,10,19418,268,901
Brazil,All,BR,2022-05-01,b,0,10,12815,248,18673
Canada,All,BR,2022-05-01,b,0,10,7978,333,10452
Denmark,All,BR,2022-05-01,b,0,10,9359,276,10315
Egypt,All,BR,2022-05-01,b,0,10,10111,485,37538
Afghanistan,Urban,BR,2022-05-01,b,0,10,5715,267,26535
Brazil,Urban,BR,2022-05-01,b,0,10,8788,136,2204
Canada,Urban,BR,2022-05-01,b,0,10,10158,332,34031
Denmark,Urban,BR,2022-05-01,b,0,10,5236,405,19606
Egypt,Urban,BR,2022-05-01,b,0,10,8543,7,10513
Afghanistan,Rural,BR,2022-05-01,b,0,10,8867,384,34896
Brazil,Rural,BR,2022-05-01,b,0,10,10827,274,11636
Canada,Rural,BR,2022-05-01,b,0,10,994,61,28706
Denmark,Rural,BR,2022-05-01,b,0,10,12520,130,48242
Egypt,Rural,BR,2022-05-01,b,0,10,7348,368,13319
Afghanistan,All,CA,2022-05-01,b,0,10,39,366,39649
Brazil,All,CA,2022-05-01,b,0,10,9932,48,39299
Canada,All,CA,2022-05-01,b,0,10,18626,422,11167
Denmark,All,CA,2022-05-01,b,0,10,3991,427,3758
Egypt,All,CA,2022-05-01,b,0,10,10020,340,40537
Afghanistan,Urban,CA,2022-05-01,b,0,10,13368,425,40683
Brazil,Urban,CA,2022-05-01,b,0,10,14015,72,38395
Canada,Urban,CA,2022-05-01,b,0,10,10426,74,18721
Denmark,Urban,CA,2022-05-01,b,0,10,12691,462,11487
Egypt,Urban,CA,2022-05-01,b,0,10,13123,292,26627
Afghanistan,Rural,CA,2022-05-01,b,0,10,18771,16,36002
Brazil,Rural,CA,2022-05-01,b,0,10,4057,112,29824
Canada,Rural,CA,2022-05-01,b,0,10,4704,414,34942
Denmark,Rural,CA,2022-05-01,b,0,10,1017,265,30967
Egypt,Rural,CA,2022-05-01,b,0,10,6992,99,35296
Afghanistan,All,DK,2022-05-01,b,0,10,5674,154,48612
Brazil,All,DK,2022-05-01,b,0,10,6775,460,42869
Canada,All,DK,2022-05-01,b,0,10,18148,142,8902
Denmark,All,DK,2022-05-01,b,0,10,15792,117,42321
Egypt,All,DK,2022-05-01,b,0,10,4950,386,19818
Afghanistan,Urban,DK,2022-05-01,b,0,10,4574,427,27902
Brazil,Urban,DK,2022-05-01,b,0,10,10864,6,41664
Canada,Urban,DK,2022-05-01,b,0,10,3196,95,47830
Denmark,Urban,DK,2022-05-01,b,0,10,8279,203,7216
Egypt,Urban,DK,2022-05-01,b,0,10,8705,344,29485
Afghanistan,Rural,DK,2022-05-01,b,0,10,4264,174,4240
Brazil,Rural,DK,2022-05-01,b,0,10,4662,470,10200
Canada,Rural,DK,2022-05-01,b,0,10,6034,153,4630
Denmark,Rural,DK,2022-05-01,b,0,10,13579,270,11978
Egypt,Rural,DK,2022-05-01,b,0,10,11202,112,10872
Afghanistan,All,EG,2022-05-01,b,0,10,17235,291,22543
Brazil,All,EG,2022-05-01,b,0,10,5891,118,8753
Canada,All,EG,2022-05-01,b,0,10,16128,267,44084
Denmark,All,EG,2022-05-01,b,0,10,16203,265,17611
Egypt,All,EG,2022-05-01,b,0,10,1055,206,47019
Afghanistan,Urban,EG,2022-05-01,b,0,10,17918,113,45337
Brazil,Urban,EG,2022-05-01,b,0,10,2072,86,3959
Canada,Urban,EG,2022-05-01,b,0,10,6039,348,18877
Denmark,Urban,EG,2022-05-01,b,0,10,4969,290,44364
Egypt,Urban,EG,2022-05-01,b,0,10,17005,54,1621
Afghanistan,Rural,EG,2022-05-01,b,0,10,5726,49,21898
Brazil,Rural,EG,2022-05-01,b,0,10,16118,274,3130
Canada,Rural,EG,2022-05-01,b,0,10,14501,309,45692
Denmark,Rural,EG,2022-05-01,b,0,10,10837,52,34397
Egypt,Rural,EG,2022-05-01,b,0,10,1483,176,13255
Afghanistan,All,AF,2022-06-01,b,0,10,1809,331,180
Brazil,All,AF,2022-06-01,b,0,10,16770,333,11149
Canada,All,AF,2022-06-01,b,0,10,9114,432,31982
Denmark,All,AF,2022-06-01,b,0,10,1474,438,16482
Egypt,All,AF,2022-06-01,b,0,10,15566,242,4135
Afghanistan,Urban,AF,2022-06-01,b,0,10,288,419,41936
Brazil,Urban,AF,2022-06-01,b,0,10,12331,51,11394
Canada,Urban,AF,2022-06-01,b,0,10,9918,170,32590
Denmark,Urban,AF,2022-06-01,b,0,10,5555,318,3152
Egypt,Urban,AF,2022-06-01,b,0,10,4781,38,21351
Afghanistan,Rural,AF,2022-06-01,b,0,10,17306,306,8909
Brazil,Rural,AF,2022-06-01,b,0,10,18237,304,43398
Canada,Rural,AF,2022-06-01,b,0,10,11791,29,13172
Denmark,Rural,AF,2022-06-01,b,0,10,771,52,17959
Egypt,Rural,AF,2022-06-01,b,0,10,3885,268,16353
Afghanistan,All,BR,2022-06-01,b,0,10,10996,342,16876
Brazil,All,BR,2022-06-01,b,0,10,15806,370,10898
Canada,All,BR,2022-06-01,b,0,10,6041,27,39482
Denmark,All,BR,2022-06-01,b,0,10,13068,122,17907
Egypt,All,BR,2022-06-01,b,0,10,4046,200,11658
Afghanistan,Urban,BR,2022-06-01,b,0,10,15979,59,38739
Brazil,Urban,BR,2022-06-01,b,0,10,4576,112,29834
Canada,Urban,BR,2022-06-01,b,0,10,18262,153,32095
Denmark,Urban,BR,2022-06-01,b,0,10,12490,218,2455
Egypt,Urban,BR,2022-06-01,b,0,10,6195,208,2583
Afghanistan,Rural,BR,2022-06-01,b,0,10,11468,250,2525
Brazil,Rural,BR,2022-06-01,b,0,10,16242,169,32849
Canada,Rural,BR,2022-06-01,b,0,10,7473,425,29200
Denmark,Rural,BR,2022-06-01,b,0,10,13058,81,27479
Egypt,Rural,BR,2022-06-01,b,0,10,15190,133,45186
Afghanistan,All,CA,2022-06-01,b,0,10,5060,229,20608
Brazil,All,CA,2022-06-01,b,0,10,10782,492,15548
Canada,All,CA,2022-06-01,b,0,10,3900,276,9008
Denmark,All,CA,2022-06-01,b,0,10,18591,246,31282
Egypt,All,CA,2022-06-01,b,0,10,7444,293,22532
Afghanistan,Urban,CA,2022-06-01,b,0,10,3368,6,46610
Brazil,Urban,CA,2022-06-01,b,0,10,16325,204,39961
Canada,Urban,CA,2022-06-01,b,0,10,9996,65,25283
Denmark,Urban,CA,2022-06-01,b,0,10,17637,51,20330
Egypt,Urban,CA,2022-06-01,b,0,10,19972,455,3966
Afghanistan,Rural,CA,2022-06-01,b,0,10,9078,100,37961
Brazil,Rural,CA,2022-06-01,b,0,10,8380,33,34542
Canada,Rural,CA,2022-06-01,b,0,10,4878,139,46130
Denmark,Rural,CA,2022-06-01,b,0,10,7653,130,17302
Egypt,Rural,CA,2022-06-01,b,0,10,8825,134,33627
Afghanistan,All,DK,2022-06-01,b,0,10,18923,481,42011
Brazil,All,DK,2022-06-01,b,0,10,10845,56,45093
Canada,All,DK,2022-06-01,b,0,10,10886,384,11384
Denmark,All,DK,2022-06-01,b,0,10,12524,197,31200
Egypt,All,DK,2022-06-01,b,0,10,3526,321,36474
Afghanistan,Urban,DK,2022-06-01,b,0,10,13940,428,13778
Brazil,Urban,DK,2022-06-01,b,0,10,8211,393,8622
Canada,Urban,DK,2022-06-01,b,0,10,13943,239,12772
