Country,Region,Date,Sex,Age,Cases,Deaths,Tests,CFR
Canada,Rural,2022-05-01,m,0,13924,21,3818,0.15081873024992817
Canada,Urban,2022-05-01,m,0,16417,101,4980,0.6152159347018336
Canada,Rural,2022-05-01,m,0,8771,382,10544,4.35526165773572
Canada,Urban,2022-05-01,m,0,14815,82,4427,0.5534930813364833
Canada,Rural,2022-05-01,m,0,2603,446,36735,17.134076066077604
Canada,Urban,2022-05-01,m,0,19993,213,6478,1.065372880508178
Canada,Rural,2022-05-01,m,0,18073,126,27917,0.6971725778786034
Canada,Urban,2022-06-01,m,0,18982,310,35089,1.6331261194816142
Canada,Rural,2022-06-01,m,0,3472,457,6896,13.162442396313365
Canada,Urban,2022-06-01,m,0,7542,459,4850,6.085918854415275
Canada,Rural,2022-06-01,m,0,9725,28,31551,0.2879177377892031
Canada,Urban,2022-06-01,m,0,5651,292,43915,5.167227039462042
Canada,Rural,2022-06-01,m,0,1612,249,36411,15.446650124069478
Canada,Urban,2022-06-01,m,0,16394,213,28382,1.2992558253019397
Canada,Rural,2022-06-01,m,0,10338,130,4889,1.257496614432192
Canada,Urban,2022-06-01,m,0,11776,280,4165,2.377717391304348
Canada,Rural,2022-06-01,m,0,13244,496,9809,3.745092117185141
Canada,Urban,2022-07-01,m,0,11248,55,4631,0.4889758179231864
Canada,Rural,2022-07-01,m,0,16257,240,47721,1.4762871378483116
Canada,Urban,2022-07-01,m,0,15827,312,42095,1.9713148417261641
Canada,Rural,2022-07-01,m,0,6601,382,9442,5.787001969398576
Canada,Urban,2022-07-01,m,0,17232,243,42255,1.41016713091922
Canada,Rural,2022-07-01,m,0,14862,144,47655,0.9689140088817118
Canada,Urban,2022-07-01,m,0,6268,12,25318,0.1914486279514997
Canada,Rural,2022-07-01,m,0,2771,108,27109,3.897509924215085
Canada,Urban,2022-07-01,m,0,16612,329,47786,1.9804960269684566
Canada,Rural,2022-07-01,m,0,9093,115,11022,1.2647091169031124
Canada,Urban,2022-08-01,m,0,8259,409,36351,4.952173386608548
Canada,Rural,2022-08-01,m,0,13782,308,2281,2.2347990132056306
Canada,Urban,2022-08-01,m,0,2495,483,43973,19.35871743486974
Canada,Rural,2022-08-01,m,0,12168,275,3747,2.260026298487837
Canada,Urban,2022-08-01,m,0,17270,73,28904,0.42269832078749275
Canada,Rural,2022-08-01,m,0,17540,290,373,1.653363740022805
Canada,Urban,2022-08-01,m,0,1258,426,24973,33.86327503974563
Canada,Rural,2022-08-01,m,0,11618,358,2904,3.081425374419005
Canada,Urban,2022-08-01,m,0,5416,107,7743,1.9756277695716398
Canada,Rural,2022-08-01,m,0,5385,228,12688,4.233983286908078
Canada,Urban,2022-09-01,m,0,4358,120,41000,2.7535566773749425
Canada,Rural,2022-09-01,m,0,13764,294,20252,2.1360069747166524
Canada,Urban,2022-09-01,m,0,10225,185,10635,1.8092909535452322
Canada,Rural,2022-09-01,m,0,4638,138,40174,2.975420439844761
Canada,Urban,2022-09-01,m,0,5954,14,25158,0.23513604299630503
Canada,Rural,2022-09-01,m,0,14249,268,23057,1.8808337427187873
Canada,Urban,2022-09-01,m,0,18069,248,39090,1.3725164646632353
Canada,Rural,2022-09-01,m,0,16549,481,35632,2.9065200314218385
Canada,Urban,2022-09-01,m,0,10464,294,18951,2.8096330275229358
Canada,Rural,2022-09-01,m,0,11169,126,14833,1.1281224818694602
Canada,Urban,2022-10-01,m,0,7529,48,41538,0.63753486518794
Canada,Rural,2022-10-01,m,0,7331,122,42202,1.6641658709589415
Canada,Urban,2022-10-01,m,0,12745,268,36486,2.1027854060415847
Canada,Rural,2022-10-01,m,0,4603,75,30948,1.62937214859874
Canada,Urban,2022-10-01,m,0,6661,64,4540,0.9608166941900617
Canada,Rural,2022-10-01,m,0,10446,486,24982,4.652498564043653
Canada,Urban,2022-10-01,m,0,11896,123,12784,1.0339609952925353
Canada,Rural,2022-10-01,m,0,10051,279,41264,2.7758431996816237
Canada,Urban,2022-10-01,m,0,12944,102,24932,0.788009888751545
Canada,Rural,2022-10-01,m,0,6963,153,12755,2.197328737613098
Canada,Urban,2022-11-01,m,0,18442,124,20019,0.6723782669992409
Canada,Rural,2022-11-01,m,0,716,384,6802,53.63128491620112
Canada,Urban,2022-11-01,m,0,12493,52,9295,0.41623309053069724
Canada,Rural,2022-11-01,m,0,4432,467,30936,10.537003610108304
Canada,Urban,2022-11-01,m,0,11437,191,35003,1.6700183614584245
Canada,Rural,2022-11-01,m,0,12377,444,18246,3.5872990223802215
Canada,Urban,2022-11-01,m,0,12897,2,33764,0.015507482360238814
Canada,Rural,2022-11-01,m,0,16242,141,26388,0.8681196896933875
Canada,Urban,2022-11-01,m,0,18532,371,10472,2.001942585797539
Canada,Rural,2022-11-01,m,0,16120,17,27007,0.10545905707196031
Canada,Urban,2022-12-01,m,0,2506,33,48446,1.3168395849960097
Canada,Rural,2022-12-01,m,0,9918,173,33181,1.7443032869530146
Canada,Urban,2022-12-01,m,0,19002,363,27125,1.9103252289232713
Canada,Rural,2022-12-01,m,0,3824,216,49814,5.648535564853557
Canada,Urban,2022-12-01,m,0,1548,258,41293,16.666666666666664
Canada,Rural,2022-12-01,m,0,2033,457,12042,22.479094933595672
Canada,Urban,2022-12-01,m,0,2478,3,31796,0.12106537530266344
Canada,Rural,2022-12-01,m,0,19858,206,23800,1.0373652935844495
Canada,Urban,2022-12-01,m,0,255,176,45597,69.01960784313725
Canada,Rural,2022-12-01,m,0,18202,493,1682,2.70849357213493
Canada,Urban,2022-01-01,f,0,4189,251,13129,5.991883504416329
Canada,Urban,2022-01-01,f,0,14593,376,47451,2.5765778112793805
Canada,Rural,2022-01-01,f,0,9524,419,31987,4.3994120117597655
Canada,Urban,2022-01-01,f,0,2073,16,25888,0.7718282682103232
Canada,Rural,2022-01-01,f,0,3046,308,29590,10.111621799080762
Canada,Urban,2022-01-01,f,0,1012,395,13899,39.03162055335969
Canada,Rural,2022-01-01,f,0,3450,403,42701,11.681159420289855
Canada,Urban,2022-01-01,f,0,6515,227,24105,3.484267075978511
Canada,Urban,2022-02-01,f,0,11659,390,3281,3.345055322068788
Canada,Rural,2022-02-01,f,0,3856,447,45845,11.592323651452283
Canada,Urban,2022-02-01,f,0,13825,315,22336,2.278481012658228
Canada,Rural,2022-02-01,f,0,3376,119,35462,3.524881516587678
Canada,Urban,2022-02-01,f,0,6772,343,7595,5.06497341996456
Canada,Rural,2022-02-01,f,0,14264,292,12750,2.047111609646663
Canada,Urban,2022-02-01,f,0,544,48,24286,8.823529411764707
Canada,Rural,2022-02-01,f,0,11149,25,36887,0.22423535743115974
Canada,Urban,2022-02-01,f,0,5642,280,30242,4.962779156327544
Canada,Rural,2022-02-01,f,0,14785,440,28365,2.97598917822117
Canada,Urban,2022-03-01,f,0,1741,107,21323,6.145893164847789
Canada,Rural,2022-03-01,f,0,16832,217,703,1.2892110266159695
Canada,Urban,2022-03-01,f,0,11851,389,7912,3.2824234241836137
Canada,Rural,2022-03-01,f,0,18697,163,16785,0.871797614590576
Canada,Urban,2022-03-01,f,0,13830,186,9437,1.3449023861171365
Canada,Rural,2022-03-01,f,0,17113,307,35761,1.7939578098521591
Canada,Urban,2022-03-01,f,0,12282,326,7060,2.654290832112034
Canada,Rural,2022-03-01,f,0,16987,147,29015,0.8653676340731147
Canada,Urban,2022-03-01,f,0,15515,284,44063,1.8304866258459556
Canada,Rural,2022-03-01,f,0,17188,174,14833,1.0123341866418432
Canada,Urban,2022-04-01,f,0,3272,343,37575,10.482885085574573
Canada,Rural,2022-04-01,f,0,18551,38,9743,0.2048407093957199
Canada,Urban,2022-04-01,f,0,9910,324,46819,3.2694248234106964
Canada,Rural,2022-04-01,f,0,15939,419,29049,2.6287721939895854
Canada,Urban,2022-04-01,f,0,16663,51,37625,0.306067334813659
Canada,Rural,2022-04-01,f,0,10889,440,37423,4.040775094131693
Canada,Urban,2022-04-01,f,0,398,105,45943,26.38190954773869
Canada,Rural,2022-04-01,f,0,8278,395,19679,4.771683981638077
Canada,Urban,2022-04-01,f,0,6583,302,24446,4.5875740543825
Canada,Rural,2022-04-01,f,0,493,90,25697,18.255578093306287
Canada,Urban,2022-05-01,f,0,10383,363,31226,3.496099393238948
Canada,Rural,2022-05-01,f,0,3508,1,43966,0.028506271379703536
Canada,Urban,2022-05-01,f,0,10238,207,48358,2.0218792732955655
Canada,Rural,2022-05-01,f,0,17426,418,7376,2.3987145644439343
Canada,Urban,2022-05-01,f,0,14900,182,3306,1.221476510067114
Canada,Rural,2022-05-01,f,0,9297,133,24680,1.430569000752931
Canada,Urban,2022-05-01,f,0,12023,382,37281,3.1772436164018965
Canada,Rural,2022-05-01,f,0,7361,108,32590,1.4671919576144545
Canada,Urban,2022-05-01,f,0,16815,122,11120,0.7255426702349093
Canada,Rural,2022-05-01,f,0,17066,193,532,1.1309035509199579
Canada,Urban,2022-06-01,f,0,13483,306,7063,2.2695245865163542
Canada,Rural,2022-06-01,f,0,16429,69,33637,0.41998904376407575
Canada,Urban,2022-06-01,f,0,4991,85,21872,1.703065517932278
Canada,Rural,2022-06-01,f,0,9608,360,24836,3.746877601998335
Canada,Urban,2022-06-01,f,0,3155,361,13550,11.44215530903328
Canada,Rural,2022-06-01,f,0,6070,287,11204,4.7281713344316305
Canada,Urban,2022-06-01,f,0,16469,354,49888,2.1494929868237294
Canada,Rural,2022-06-01,f,0,10066,433,1042,4.30160937810451
Canada,Urban,2022-06-01,f,0,18503,169,16731,0.9133654002053722
Canada,Rural,2022-06-01,f,0,16538,253,1207,1.5298101342363042
Canada,Urban,2022-07-01,f,0,10276,491,1349,4.778123783573375
Canada,Rural,2022-07-01,f,0,16801,376,45153,2.237962026069877
Canada,Urban,2022-07-01,f,0,17743,99,7944,0.5579665220086795
Canada,Rural,2022-07-01,f,0,13999,212,9268,1.5143938852775198
Canada,Urban,2022-07-01,f,0,3929,138,8637,3.5123441079155002
Canada,Rural,2022-07-01,f,0,5262,232,4674,4.4089699733941465
Canada,Urban,2022-07-01,f,0,3917,444,17046,11.335205514424304
Canada,Rural,2022-07-01,f,0,19531,63,25992,0.3225641288208489
Canada,Urban,2022-07-01,f,0,7079,83,6126,1.1724819889814946
Canada,Rural,2022-07-01,f,0,1322,382,40350,28.895612708018152
Canada,Urban,2022-08-01,f,0,2490,251,29630,10.080321285140561
Canada,Rural,2022-08-01,f,0,5400,29,9157,0.537037037037037
Canada,Urban,2022-08-01,f,0,9184,222,8947,2.417247386759582
Canada,Rural,2022-08-01,f,0,2187,296,30397,13.534522176497484
Canada,Urban,2022-08-01,f,0,15165,79,42636,0.520936366633696
Canada,Rural,2022-08-01,f,0,366,133,7153,36.33879781420765
Canada,Urban,2022-08-01,f,0,10439,230,33997,2.2032761758789157
Canada,Rural,2022-08-01,f,0,19079,142,48794,0.7442738088998375
Canada,Urban,2022-08-01,f,0,1501,170,33347,11.325782811459026
Canada,Rural,2022-08-01,f,0,13771,10,19103,0.07261636772928619
Canada,Urban,2022-09-01,f,0,14666,132,34187,0.9000409109504978
Canada,Rural,2022-09-01,f,0,10524,443,16204,4.209426073736222
Canada,Rural,2022-09-01,f,0,17476,401,30028,2.2945754177157243
Canada,Urban,2022-09-01,f,0,383,27,23743,7.049608355091384
Canada,Rural,2022-09-01,f,0,8760,260,19440,2.968036529680365
Canada,Urban,2022-09-01,f,0,1451,455,10603,31.357684355616815
Canada,Rural,2022-09-01,f,0,8872,261,19563,2.9418394950405773
Canada,Urban,2022-09-01,f,0,10864,485,49864,4.464285714285714
Canada,Rural,2022-09-01,f,0,7407,386,44352,5.211286620764142
Canada,Urban,2022-10-01,f,0,17790,421,23590,2.366498032602586
Canada,Rural,2022-10-01,f,0,3665,363,39080,9.90450204638472
Canada,Urban,2022-10-01,f,0,6102,183,11788,2.999016715830875
Canada,Rural,2022-10-01,f,0,15990,366,16528,2.2889305816135086
Canada,Urban,2022-10-01,f,0,7934,249,8632,3.138391731787245
Canada,Rural,2022-10-01,f,0,523,199,42596,38.04971319311664
Canada,Urban,2022-10-01,f,0,7117,213,11630,2.9928340592946467
Canada,Rural,2022-10-01,f,0,14834,116,16756,0.7819873264122961
Canada,Urban,2022-10-01,f,0,14091,174,3112,1.2348307430274643
Canada,Rural,2022-10-01,f,0,7585,458,41387,6.038233355306526
Canada,Urban,2022-11-01,f,0,15780,288,4199,1.8250950570342206
Canada,Rural,2022-11-01,f,0,10190,59,27530,0.5789990186457311
Canada,Urban,2022-11-01,f,0,7018,324,5620,4.616699914505557
Canada,Urban,2022-11-01,f,0,7220,318,2677,4.404432132963989
Canada,Rural,2022-11-01,f,0,9504,473,10145,4.976851851851852
Canada,Urban,2022-11-01,f,0,15109,226,49622,1.4957972069627374
Canada,Rural,2022-11-01,f,0,17531,491,46489,2.800752951913753
Canada,Urban,2022-11-01,f,0,11251,325,6231,2.8886321215891924
Canada,Rural,2022-11-01,f,0,13719,247,8817,1.8004227713390188
Canada,Urban,2022-12-01,f,0,5358,296,19362,5.5244494214259054
Canada,Rural,2022-12-01,f,0,17318,109,37530,0.6294029333641298
Canada,Urban,2022-12-01,f,0,15095,2,40982,0.013249420337860219
Canada,Rural,2022-12-01,f,0,8678,480,11336,5.531228393639087
Canada,Urban,2022-12-01,f,0,7712,228,5877,2.9564315352697093
Canada,Rural,2022-12-01,f,0,13122,437,27051,3.330285017527816
Canada,Urban,2022-12-01,f,0,16252,446,48511,2.7442776273689393
Canada,Rural,2022-12-01,f,0,11630,408,29701,3.5081685296646605
Canada,Urban,2022-12-01,f,0,13563,401,5607,2.9565730295657304
Canada,Rural,2022-12-01,f,0,11760,276,48216,2.3469387755102042
Canada,Urban,2022-01-01,m,10,6672,363,28902,5.440647482014389
Canada,Rural,2022-01-01,m,10,2607,154,1716,5.9071729957805905
Canada,Urban,2022-01-01,m,10,11196,422,20116,3.7692032868881746
Canada,Rural,2022-01-01,m,10,12384,362,30089,2.9231266149870803
Canada,Urban,2022-01-01,m,10,7565,32,22135,0.4230006609385327
Canada,Rural,2022-01-01,m,10,6880,302,21941,4.3895348837209305
Canada,Urban,2022-01-01,m,10,15408,76,19530,0.4932502596053998
Canada,Rural,2022-01-01,m,10,4084,124,23765,3.0362389813907935
Canada,Urban,2022-01-01,m,10,13080,163,39396,1.2461773700305812
Canada,Rural,2022-01-01,m,10,11566,347,45953,3.000172920629431
Canada,Urban,2022-02-01,m,10,18625,164,46440,0.8805369127516779
Canada,Rural,2022-02-01,m,10,14367,71,45501,0.49418806988236935
Canada,Urban,2022-02-01,m,10,11011,293,27587,2.6609753882481155
Canada,Rural,2022-02-01,m,10,4672,270,8496,5.779109589041096
Canada,Urban,2022-02-01,m,10,10375,312,35846,3.0072289156626506
Canada,Rural,2022-02-01,m,10,12176,336,28698,2.759526938239159
Canada,Urban,2022-02-01,m,10,19933,405,35283,2.031806551949029
Canada,Rural,2022-02-01,m,10,16970,168,38466,0.9899823217442545
Canada,Urban,2022-02-01,m,10,9953,149,20544,1.497036069526776
Canada,Rural,2022-02-01,m,10,6491,459,34041,7.0713295331998145
Canada,Urban,2022-03-01,m,10,13256,484,24972,3.6511768255884127
Canada,Rural,2022-03-01,m,10,6607,48,36735,0.7265021946420462
Canada,Urban,2022-03-01,m,10,1568,350,4199,22.321428571428573
Canada,Rural,2022-03-01,m,10,9971,409,37025,4.101895496941129
Canada,Urban,2022-03-01,m,10,13249,433,48609,3.2681711827307725
Canada,Rural,2022-03-01,m,10,2983,359,5413,12.034864230640295
Canada,Urban,2022-03-01,m,10,2768,291,39627,10.513005780346822
Canada,Rural,2022-03-01,m,10,14032,322,2444,2.2947548460661342
Canada,Urban,2022-03-01,m,10,17988,461,38283,2.5628196575494777
Canada,Rural,2022-03-01,m,10,3613,67,38063,1.8544146138942705
Canada,Urban,2022-04-01,m,10,13059,373,38881,2.856267708094035
Canada,Rural,2022-04-01,m,10,4429,393,35208,8.87333483856401
Canada,Urban,2022-04-01,m,10,4949,415,175,8.3855324307941
Canada,Rural,2022-04-01,m,10,10820,35,11928,0.32347504621072093
Canada,Urban,2022-04-01,m,10,2369,191,49442,8.062473617560153
Canada,Rural,2022-04-01,m,10,13407,497,18989,3.7070187215633625
Canada,Urban,2022-04-01,m,10,10330,369,37074,3.5721200387221685
Canada,Rural,2022-04-01,m,10,12580,393,13046,3.124006359300477
Canada,Urban,2022-04-01,m,10,17883,392,37746,2.19202594642957
Canada,Rural,2022-04-01,m,10,16249,474,32354,2.9171025909286725
Canada,Urban,2022-05-01,m,10,16479,62,38585,0.3762364221129923
Canada,Rural,2022-05-01,m,10,14577,284,23385,1.9482746792892913
Canada,Urban,2022-05-01,m,10,8990,479,17084,5.328142380422691
Canada,Rural,2022-05-01,m,10,15355,432,24510,2.8134158254640185
Canada,Urban,2022-05-01,m,10,17718,452,14301,2.551077999774241
Canada,Rural,2022-05-01,m,10,7575,239,43592,3.155115511551155
Canada,Urban,2022-05-01,m,10,12043,342,7513,2.8398239641285397
Canada,Rural,2022-05-01,m,10,3168,167,19585,5.271464646464646
Canada,Urban,2022-05-01,m,10,5972,140,38345,2.344273275284662
Canada,Rural,2022-05-01,m,10,8604,211,39021,2.4523477452347744
Canada,Urban,2022-06-01,m,10,12071,229,266,1.897108773092536
Canada,Rural,2022-06-01,m,10,7146,280,29346,3.918275958578225
Canada,Urban,2022-06-01,m,10,11350,35,22354,0.30837004405286345
Canada,Rural,2022-06-01,m,10,13572,435,23097,3.205128205128205
Canada,Urban,2022-06-01,m,10,19975,485,21711,2.4280350438047558
Canada,Rural,2022-06-01,m,10,15236,192,7061,1.260173273825151
Canada,Urban,2022-06-01,m,10,3165,145,6489,4.581358609794629
Canada,Rural,2022-06-01,m,10,16481,491,42466,2.9791881560584916
Canada,Urban,2022-06-01,m,10,17091,150,9187,0.877654906090925
Canada,Rural,2022-06-01,m,10,7901,316,11214,3.999493734970257
Canada,Urban,2022-07-01,m,10,1328,244,33738,18.373493975903614
Canada,Rural,2022-07-01,m,10,415,90,40893,21.686746987951807
Canada,Urban,2022-07-01,m,10,6324,76,47473,1.2017710309930425
Canada,Rural,2022-07-01,m,10,9486,254,32095,2.677630191861691
Canada,Urban,2022-07-01,m,10,11253,482,25478,4.283302230516306
Canada,Rural,2022-07-01,m,10,9048,429,38271,4.741379310344827
Canada,Urban,2022-07-01,m,10,18064,11,49957,0.06089459698848538
Canada,Rural,2022-07-01,m,10,7234,226,4382,3.124136024329555
Canada,Urban,2022-07-01,m,10,290,157,31192,54.137931034482754
Canada,Rural,2022-07-01,m,10,5290,204,46764,3.856332703213611
Canada,Urban,2022-08-01,m,10,6944,195,46945,2.8081797235023043
Canada,Rural,2022-08-01,m,10,7923,192,13698,2.4233244982961
Canada,Urban,2022-08-01,m,10,17913,220,45094,1.2281583207726232
Canada,Rural,2022-08-01,m,10,11247,107,21013,0.9513648083933494
Canada,Urban,2022-08-01,m,10,14891,244,11108,1.638573635081593
Canada,Rural,2022-08-01,m,10,5568,374,48575,6.716954022988506
Canada,Urban,2022-08-01,m,10,3023,22,26954,0.7277538868673503
Canada,Rural,2022-08-01,m,10,13944,265,19296,1.9004589787722317
Canada,Urban,2022-08-01,m,10,6774,489,42614,7.218777679362268
Canada,Rural,2022-08-01,m,10,18214,420,40476,2.3059185242121445
Canada,Urban,2022-09-01,m,10,4157,209,502,5.027664180899687
Canada,Rural,2022-09-01,m,10,4979,65,1373,1.3054830287206265
Canada,Urban,2022-09-01,m,10,17819,29,6285,0.16274762893540604
Canada,Rural,2022-09-01,m,10,12832,177,6202,1.379364089775561
Canada,Urban,2022-09-01,m,10,830,82,42016,9.879518072289157
Canada,Rural,2022-09-01,m,10,6831,181,48303,2.6496852583809107
Canada,Urban,2022-09-01,m,10,9288,319,39161,3.434539190353144
Canada,Rural,2022-09-01,m,10,15898,269,24797,1.6920367341804001
Canada,Urban,2022-09-01,m,10,16455,266,20310,1.6165299301124278
Canada,Rural,2022-09-01,m,10,16581,175,37724,1.055424883903263
Canada,Urban,2022-10-01,m,10,1499,85,26637,5.670446964643095
Canada,Rural,2022-10-01,m,10,12452,360,43437,2.89110183103116
Canada,Urban,2022-10-01,m,10,10801,463,24857,4.286640125914267
Canada,Rural,2022-10-01,m,10,6503,371,41399,5.705059203444564
Canada,Urban,2022-10-01,m,10,10518,41,1651,0.38980794827914056
Canada,Rural,2022-10-01,m,10,15917,372,5859,2.337123829867437
Canada,Urban,2022-10-01,m,10,111,28,8649,25.225225225225223
Canada,Rural,2022-10-01,m,10,9942,67,23958,0.6739086702876684
Canada,Urban,2022-10-01,m,10,7806,270,28146,3.4588777863182165
Canada,Rural,2022-10-01,m,10,6813,483,14612,7.089387934830471
Canada,Urban,2022-11-01,m,10,4476,465,13438,10.388739946380698
Canada,Rural,2022-11-01,m,10,15660,94,20154,0.6002554278416348
Canada,Urban,2022-11-01,m,10,2495,281,3635,11.2625250501002
Canada,Rural,2022-11-01,m,10,13159,460,14310,3.495706360665704
Canada,Urban,2022-11-01,m,10,10954,269,24772,2.4557239364615664
Canada,Rural,2022-11-01,m,10,797,206,16743,25.84692597239649
Canada,Urban,2022-11-01,m,10,15207,93,21442,0.6115604655750642
Canada,Rural,2022-11-01,m,10,3801,161,5073,4.23572744014733
Canada,Urban,2022-11-01,m,10,17019,402,36070,2.362065926317645
Canada,Rural,2022-11-01,m,10,9211,481,38544,5.22201715340354
Canada,Urban,2022-12-01,m,10,7948,5,49967,0.06290890790135883
Canada,Rural,2022-12-01,m,10,13742,25,27498,0.18192402852568768
Canada,Urban,2022-12-01,m,10,11421,14,31927,0.12258121005165921
Canada,Rural,2022-12-01,m,10,19755,12,33818,0.060744115413819286
Canada,Urban,2022-12-01,m,10,5733,121,31270,2.110587824873539
Canada,Rural,2022-12-01,m,10,8772,105,14572,1.1969904240766074
Canada,Urban,2022-12-01,m,10,8217,336,25714,4.089083607155896
Canada,Rural,2022-12-01,m,10,5658,335,36153,5.920820077765995
Canada,Urban,2022-12-01,m,10,810,380,16542,46.913580246913575
Canada,Rural,2022-12-01,m,10,8092,154,31145,1.9031141868512111
Canada,Urban,2022-01-01,f,10,214,136,13784,63.55140186915887
Canada,Rural,2022-01-01,f,10,14482,145,22599,1.0012429222483081
Canada,Urban,2022-01-01,f,10,3848,298,42836,7.744282744282745
Canada,Rural,2022-01-01,f,10,8314,207,6065,2.4897762809718547
Canada,Urban,2022-01-01,f,10,17441,440,43032,2.522791124362135
Canada,Rural,2022-01-01,f,10,19139,439,14223,2.293745754741627
Canada,Urban,2022-01-01,f,10,12089,406,21885,3.35842501447597
Canada,Rural,2022-01-01,f,10,13816,123,38494,0.8902721482339316
Canada,Urban,2022-01-01,f,10,9151,264,20779,2.8849306086766475
Canada,Rural,2022-01-01,f,10,14571,471,19980,3.2324480131768585
Canada,Urban,2022-02-01,f,10,1006,17,37660,1.6898608349900597
Canada,Rural,2022-02-01,f,10,10225,355,40022,3.4718826405867973
Canada,Urban,2022-02-01,f,10,8442,138,28917,1.634683724235963
Canada,Rural,2022-02-01,f,10,18247,441,43378,2.4168356442154875
Canada,Urban,2022-02-01,f,10,17320,269,27168,1.5531177829099307
Canada,Rural,2022-02-01,f,10,17351,428,31306,2.466716615757017
Canada,Urban,2022-02-01,f,10,13806,424,26117,3.0711284948573083
Canada,Rural,2022-02-01,f,10,10552,458,18911,4.34040940106141
Canada,Urban,2022-02-01,f,10,15224,71,34626,0.4663688912243826
Canada,Rural,2022-02-01,f,10,8854,18,23663,0.20329794443189517
Canada,Urban,2022-03-01,f,10,7451,378,44135,5.073144544356462
Canada,Rural,2022-03-01,f,10,14517,178,44052,1.226148653303024
Canada,Urban,2022-03-01,f,10,3378,417,35777,12.344582593250445
Canada,Rural,2022-03-01,f,10,18738,3,8466,0.016010246557796988
Canada,Urban,2022-03-01,f,10,8593,1,22672,0.011637379262190155
Canada,Rural,2022-03-01,f,10,14151,41,37597,0.2897321744046357
Canada,Urban,2022-03-01,f,10,13334,440,40734,3.2998350082495875
Canada,Rural,2022-03-01,f,10,18573,351,42421,1.8898400904538846
Canada,Urban,2022-03-01,f,10,3915,477,22290,12.183908045977011
Canada,Rural,2022-03-01,f,10,8312,460,20825,5.5341674687199225
Canada,Urban,2022-04-01,f,10,2094,430,33641,20.534861509073544
Canada,Rural,2022-04-01,f,10,6129,186,974,3.034752814488497
Canada,Urban,2022-04-01,f,10,17100,235,9175,1.3742690058479532
Canada,Rural,2022-04-01,f,10,3260,96,21319,2.9447852760736195
Canada,Urban,2022-04-01,f,10,12960,126,44018,0.9722222222222222
Canada,Rural,2022-04-01,f,10,3966,311,3762,7.8416540595057995
Canada,Urban,2022-04-01,f,10,18378,384,32110,2.089454782892589
Canada,Rural,2022-04-01,f,10,3460,328,38286,9.479768786127167
